mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1	0	0	3/4	1	1	1/16	1/16	1.0		2	62	0
1	1	1/16	1/16	3/4	1	1	1/16	1/16	1.0		4	64	1
1	1	1/8	1/8	3/4	1	1	1/16	1/16	1.0		6	66	2
1	1	3/16	3/16	3/4	1	1	1/16	1/16	1.0		1	67	3
1	1	1/4	1/4	3/4	1	1	1/16	1/16	1.0		3	69	4
1	1	5/16	5/16	3/4	1	1	1/16	1/16	1.0		5	71	5
1	1	3/8	3/8	3/4	1	1	1/16	1/16	1.0		7	73	6
1	1	7/16	7/16	3/4	1	1	1/16	1/16	1.0		2	74	7
1	1	1/2	1/2	3/4	1	1	1/16	1/16	1.0		4	76	8
1	1	9/16	9/16	3/4	1	1	1/16	1/16	1.0		6	78	9
1	1	5/8	5/8	3/4	1	1	1/16	1/16	1.0		1	79	10
1	1	11/16	11/16	3/4	1	1	1/16	1/16	1.0		4	76	11
2	2	0	0	3/4	1	1	1/16	1/16	1.0		1	79	12
2	2	1/16	1/16	3/4	1	1	1/16	1/16	1.0		6	78	13
2	2	1/8	1/8	3/4	1	1	1/16	1/16	1.0		4	76	14
2	2	3/16	3/16	3/4	1	1	1/16	1/16	1.0		2	74	15
2	2	1/4	1/4	3/4	1	1	1/16	1/16	1.0		2	74	16
2	2	5/16	5/16	3/4	1	1	1/16	1/16	1.0		7	73	17
2	2	3/8	3/8	3/4	1	1	1/16	1/16	1.0		5	71	18
2	2	7/16	7/16	3/4	1	1	1/16	1/16	1.0		3	69	19
2	2	1/2	1/2	3/4	1	1	1/8	1/8	1.0		4	76	20
2	2	5/8	5/8	3/4	1	1	1/8	1/8	1.0		4	76	21
3	3	0	0	3/4	1	1	1/16	1/16	1.0		3	69	22
3	3	1/16	1/16	3/4	1	1	1/16	1/16	1.0		5	71	23
3	3	1/8	1/8	3/4	1	1	1/16	1/16	1.0		3	69	24
3	3	3/16	3/16	3/4	1	1	1/16	1/16	1.0		1	67	25
3	3	1/4	1/4	3/4	1	1	1/8	1/8	1.0		6	66	26
3	3	1/4	1/4	3/4	1	1	1/8	1/8	1.0		3	69	26
3	3	3/8	3/8	3/4	1	1	1/8	1/8	1.0		6	66	27
3	3	3/8	3/8	3/4	1	1	1/8	1/8	1.0		3	69	27
3	3	1/2	1/2	3/4	1	1	1/8	1/8	1.0		6	66	28
3	3	1/2	1/2	3/4	1	1	1/8	1/8	1.0		3	69	28
3	3	5/8	5/8	3/4	1	1	1/8	1/8	1.0		6	66	29
3	3	5/8	5/8	3/4	1	1	1/8	1/8	1.0		3	69	29
